Basin,Basin area (km2),Glacier area (km2),%,-,%,m a.s.l.,m a.s.l.,-,-,%,%,%,%,%,%,TotAbl (Gt a-1),TotAbl unc (Gt a-1),BalAbl Gt a-1,BalAbl unc Gt a-1,Precip ERA5-Land,Precip GPM,Precip WorldClim
Lake Balkash,445594,1343,47 %,256,88 %,4057,280,0.37,0.27,47 %,8 %,-42 %,7 %,43 %,10 %,2.06,0.27,0.8858,0.027,1.99458364034308E+11,1.65519624454515E+11,1.27685792789859E+11
Syr Darya,1117625,682,29 %,145,70 %,4210,319,0.48,0.33,42 %,21 %,-27 %,3 %,59 %,17 %,1.54,0.26,0.9086,0.0442,4.47186821190601E+11,4.00706586809298E+11,2.92238598048761E+11
Gobi Interior,2170053,714,31 %,118,61 %,4248,487,0.39,0.29,53 %,12 %,-38 %,7 %,45 %,11 %,2.05,0.27,0.9225,0.0297,4.74518371872854E+11,3.85970501319531E+11,3.46557250465587E+11
Amu Darya,799261,2153,20 %,471,53 %,4885,492,0.51,0.3,30 %,23 %,-20 %,2 %,66 %,40 %,5.45,1.95,3.597,0.78,2.79096867790804E+11,2.27547392995904E+11,2.36888589298668E+11
Tarim Interior,1585658,11826,43 %,1540,69 %,5258,574,0.66,0.32,20 %,48 %,-12 %,1 %,78 %,48 %,10.74,4.12,8.3772,1.9776,4.01330314029617E+11,1.81756496787986E+11,1.49053646299344E+11
Tibetan Plateau,405858,1066,40 %,143,48 %,5934,230,0.42,0.31,44 %,14 %,-27 %,2 %,47 %,13 %,1.28,0.18,0.6016,0.0234,1.94480324139778E+11,1.27481199559193E+11,8.72400886688039E+10
Yangtze,1789482,983,45 %,111,55 %,5739,206,0.45,0.3,44 %,13 %,-25 %,4 %,55 %,15 %,1.4,0.21,0.77,0.0315,2.39443754059078E+12,1.89371864437439E+12,1.83130322741791E+12
Indus,867157,9283,34 %,1398,72 %,5243,579,0.5,0.31,35 %,22 %,-26 %,3 %,65 %,23 %,17.8,3.64,11.57,0.8372,5.68532349487152E+11,4.53530946526509E+11,3.65411565312763E+11
Ganges - Bramaputra,1671358,8119,44 %,1248,72 %,5701,507,0.37,0.27,42 %,11 %,-43 %,8 %,48 %,9 %,18.3,1.62,8.784,0.1458,2.69426750058465E+12,2.22956193913985E+12,2.0293279789226E+12
Salween,265822,431,34 %,61,69 %,5549,295,0.32,0.25,52 %,8 %,-60 %,13 %,40 %,12 %,1.48,0.25,0.592,0.03,3.92147866593779E+11,3.03299666171866E+11,2.81881487431497E+11
Mekong,803303,49,21 %,11,61 %,5331,305,0.4,0.33,55 %,18 %,-45 %,12 %,49 %,25 %,0.2,0.059,0.098,0.01475,1.32210402047453E+12,1.2971659579792E+12,1.24106807642028E+12